rank,feature_name,mean_absolute_shap
313,cat__city_Suffern,0.0
314,cat__city_Summit,0.0
315,cat__city_Sylmar,0.0
316,cat__city_Sleepy Hollow,0.0
317,cat__city_Smithtown,0.0
318,cat__city_Tehachapi,0.0
319,cat__city_Tarzana,0.0
320,cat__city_Torrance,0.0
321,cat__city_Temecula,0.0
322,cat__city_Travis AFB,0.0
323,cat__city_Monterey Park,0.0
324,cat__city_Montrose,0.0
325,cat__city_Thousand Oaks,0.0
326,cat__city_Mooresville,0.0
327,cat__city_Moreno Valley,0.0
328,cat__city_Morristown,0.0
329,cat__city_Mount Holly,0.0
330,cat__city_Mount Vernon,0.0
331,cat__city_Mountain View,0.0
332,cat__city_Nassau Bay,0.0
333,cat__city_Torrington,0.0
334,cat__city_Neptune,0.0
335,cat__city_New Britain,0.0
336,cat__city_New Hyde Park,0.0
337,cat__city_New Haven,0.0
338,cat__city_New Rochelle,0.0
339,cat__city_Newburgh,0.0
340,cat__city_Newton,0.0
341,cat__city_Norristown,0.0
342,cat__city_North Bergen,0.0
343,cat__city_Northridge,0.0
344,cat__city_Oceanside,0.0
345,cat__city_Riverhead,0.0
346,cat__city_Rock Hill,0.0
347,cat__city_Roseville,0.0
348,cat__city_Arcadia,0.0
349,cat__city_Abington,0.0
350,cat__city_Vallejo,0.0
351,cat__city_Vacaville,0.0
352,cat__city_Turlock,0.0
353,cat__city_Oxnard,0.0
354,cat__city_Oro Valley,0.0
355,cat__city_Walnut Creek,0.0
356,cat__city_Van Nuys,0.0
357,cat__city_Victoria,0.0
358,cat__city_West Haven,0.0
359,cat__city_West Islip,0.0
360,cat__city_White Plains,0.0
361,cat__city_Willingboro,0.0
362,cat__city_Woodland,0.0
363,cat__city_Warwick,0.0
364,cat__city_Victorville,0.0
365,cat__city_Voorhees,0.0
366,cat__city_Kingwood,0.0
367,cat__city_LA Jolla,0.0
368,cat__city_Lake Jackson,0.0
369,cat__city_Lakeport,0.0
370,cat__city_Lakewood,0.0
371,cat__city_Lancaster,0.0
372,cat__city_Lansdale,0.0
373,cat__city_Lodi,0.0
374,cat__city_Los Alamitos,0.0
375,cat__city_Los Banos,0.0
376,cat__city_Lynwood,0.0
377,cat__city_MacUngie,0.0
378,cat__city_Manhasset,0.0
379,cat__city_Woodland Hills,0.0
380,cat__city_Webster,0.0
381,cat__city_West Chester,0.0
382,cat__city_Martinez,0.0
383,cat__city_Marble Falls,0.0
384,cat__city_Monterey,0.0
385,cat__city_Meadowbrook,0.0
386,cat__hospital_ownership_Department of Defense,0.0
387,cat__hospital_ownership_Government - Federal,0.0
388,cat__county_ATASCOSA,0.0
389,cat__city_Mission Viejo,0.0
390,cat__county_BURNET,0.0
391,cat__city_Glen Cove,0.0
392,cat__city_Glendora,0.0
393,cat__city_Globe,0.0
394,cat__city_Hackensack,0.0
395,cat__city_Hackettstown,0.0
396,cat__city_Hallettsville,0.0
397,cat__hospital_type_Acute Care - Department of Defense,0.0
398,cat__city_Harbor City,0.0
399,cat__city_Hayward,0.0
400,cat__city_Humble,0.0
401,cat__city_Holmdel,0.0
402,cat__city_Huntersville,0.0
403,cat__city_Huntington,0.0
404,cat__city_Huntington Beach,0.0
405,cat__city_Huntington Park,0.0
406,cat__city_Jamaica,0.0
407,cat__city_Jourdanton,0.0
408,cat__city_Katy,0.0
409,cat__city_Kerrville,0.0
410,cat__county_CABARRUS,0.0
411,cat__city_Manteca,0.0
412,cat__city_Wynnewood,0.0
413,cat__city_Yonkers,0.0
414,cat__county_CLEVELAND,0.0
415,cat__county_CAMDEN,0.0
416,cat__county_CALAVERAS,0.0
417,cat__county_DE WITT,0.0
418,cat__county_IREDELL,0.0
419,cat__county_KERN,0.0
420,cat__county_EL PASO,0.0
421,cat__county_GILA,0.0
422,cat__county_LANCASTER,0.0
423,cat__city_Derby,0.0
424,cat__city_Dickson City,0.0
425,cat__city_Doylestown,0.0
426,cat__city_East Norriton,0.0
427,cat__city_East Orange,0.0
428,cat__county_KERR,0.0
429,cat__county_LAKE,0.0
430,cat__city_Elizabeth,0.0
431,cat__city_Elmer,0.0
432,cat__city_Encino,0.0
433,cat__city_Englewood,0.0
434,cat__city_Escondido,0.0
435,cat__city_Fairfield,0.0
436,cat__city_Far Rockaway,0.0
437,cat__city_Farmington,0.0
438,cat__city_Flushing,0.0
439,cat__city_Folsom,0.0
440,cat__city_Fort Sam Houston,0.0
441,cat__city_Fountain Valley,0.0
442,cat__city_Freehold,0.0
443,cat__city_Fullerton,0.0
444,cat__city_El Campo,0.0
445,cat__city_El Paso,0.0
446,cat__city_Gilbert,0.0
447,cat__city_Garden Grove,0.0
448,cat__city_Camden,0.0
449,cat__city_Bryn Mawr,0.0
450,cat__city_Casa Grande,0.0
451,cat__city_Castro Valley,0.0
452,cat__city_Clearlake,0.0
453,cat__city_Burnet,0.0
454,cat__city_Colton,0.0
455,cat__city_Corona,0.0
456,cat__city_Cottonwood,0.0
457,cat__city_Cortlandt Manor,0.0
458,cat__city_Covina,0.0
459,cat__city_Cuero,0.0
460,cat__city_Daly City,0.0
461,cat__city_Camp Pendleton,0.0
462,cat__city_Davis,0.0
463,cat__county_LEHIGH,0.0
464,cat__county_LITCHFIELD,0.0
465,cat__county_MERCED,0.0
466,cat__county_OTERO,0.0
467,cat__county_PINAL,0.0
468,cat__county_PLACER,0.0
469,cat__county_POLK,0.0
470,num__te_group_measure_count,0.0
471,cat__county_YAVAPAI,0.0
472,cat__county_YOLO,0.0
473,cat__county_YORK,0.0
474,num__patient_exp_group_measure_count,0.0
475,num__readm_group_measure_count,0.0
476,num__safety_group_measure_count,0.0
477,num__mort_group_measure_count,0.0
